clip_name,start_time,end_time,task
episode_000.mp4,1.057,10.744,pick red cube and put in red square
episode_000.mp4,13.541,24.559,pick brown cube and put in yellow square
episode_000.mp4,27.014,35.405,pick orange cube and put in orange square
episode_001.mp4,1.637,11.836,pick dark-blue cube and put in dark-blue square
episode_001.mp4,13.985,24.934,pick light-blue cube and put in green square
episode_002.mp4,2.763,14.121,pick brown cube and put in yellow square
episode_002.mp4,15.861,25.309,pick red cube and put in red square
episode_003.mp4,0.886,15.779,pick orange cube and put in orange square
episode_003.mp4,17.722,38.579,pick brown cube and put in yellow square
episode_004.mp4,1.023,12.586,pick red cube and put in red square
episode_004.mp4,14.121,28.481,pick light-blue cube and put in green square
episode_005.mp4,1.806,17.142,pick dark-blue cube and put in dark-blue square
episode_005.mp4,19.221,29.957,pick light-blue cube and put in green square
episode_006.mp4,1.535,14.769,pick red cube and put in red square
episode_006.mp4,15.724,27.321,pick orange cube and put in orange square
episode_007.mp4,0.648,12.655,pick red cube and put in red square
episode_007.mp4,13.234,30.153,pick brown cube and put in yellow square
episode_008.mp4,19.340,38.850,pick dark-blue cube and put in dark-blue square
episode_009.mp4,1.568,12.848,pick orange cube and put in orange square
episode_009.mp4,14.177,30.638,pick red cube and put in red square
episode_010.mp4,1.738,16.427,pick dark-blue cube and put in dark-blue square
episode_011.mp4,3.138,17.839,pick orange cube and put in orange square
episode_011.mp4,20.909,33.529,pick brown cube and put in yellow square
episode_012.mp4,2.045,14.791,pick dark-blue cube and put in dark-blue square
episode_012.mp4,17.892,34.489,pick red cube and put in red square
episode_013.mp4,2.695,18.351,pick brown cube and put in yellow square
episode_013.mp4,20.773,33.973,pick light-blue cube and put in green square
episode_014.mp4,5.896,18.540,pick red cube and put in red square
episode_014.mp4,21.437,33.331,pick dark-blue cube and put in dark-blue square
episode_015.mp4,1.261,14.314,pick brown cube and put in yellow square
episode_015.mp4,16.052,28.423,pick dark-blue cube and put in dark-blue square
episode_015.mp4,29.548,39.363,pick light-blue cube and put in green square
episode_016.mp4,0.136,13.507,pick red cube and put in red square
episode_016.mp4,14.292,27.731,pick orange cube and put in orange square
episode_017.mp4,0.853,15.724,pick red cube and put in red square
episode_017.mp4,16.475,26.912,pick brown cube and put in yellow square
episode_017.mp4,27.628,35.917,pick light-blue cube and put in green square
episode_018.mp4,0.614,14.872,pick dark-blue cube and put in dark-blue square
episode_018.mp4,25.957,35.508,pick red cube and put in red square
episode_019.mp4,1.431,10.360,pick orange cube and put in orange square
episode_019.mp4,12.985,22.220,pick dark-blue cube and put in dark-blue square
episode_019.mp4,23.822,38.136,pick brown cube and put in yellow square
episode_020.mp4,1.977,14.655,pick light-blue cube and put in green square
episode_020.mp4,23.345,35.205,pick brown cube and put in yellow square
episode_021.mp4,1.159,10.020,pick dark-blue cube and put in dark-blue square
episode_021.mp4,10.701,19.835,pick orange cube and put in orange square
episode_021.mp4,20.585,31.729,pick light-blue cube and put in green square
episode_022.mp4,16.202,29.846,pick red cube and put in red square
episode_023.mp4,15.247,25.480,pick dark-blue cube and put in dark-blue square
episode_023.mp4,25.548,36.326,pick red cube and put in red square
episode_023.mp4,14.906,24.559,pick dark-blue cube and put in dark-blue square
episode_023.mp4,26.059,36.190,pick red cube and put in red square
episode_024.mp4,0.988,11.349,pick brown cube and put in yellow square
episode_024.mp4,12.951,27.162,pick light-blue cube and put in green square
episode_024.mp4,28.355,37.011,pick orange cube and put in orange square
episode_025.mp4,1.261,18.812,pick red cube and put in red square
episode_025.mp4,20.312,32.070,pick light-blue cube and put in green square
episode_026.mp4,1.329,9.645,pick red cube and put in red square
episode_026.mp4,10.258,21.437,pick dark-blue cube and put in dark-blue square
episode_026.mp4,21.846,32.683,pick orange cube and put in orange square
episode_026.mp4,32.785,39.261,pick brown cube and put in yellow square
episode_027.mp4,3.581,25.138,pick brown cube and put in yellow square
episode_028.mp4,0.545,13.428,pick red cube and put in red square
episode_028.mp4,13.734,26.515,pick dark-blue cube and put in dark-blue square
episode_028.mp4,26.958,37.625,pick orange cube and put in orange square
episode_029.mp4,17.089,28.618,pick light-blue cube and put in green square
episode_030.mp4,8.486,22.527,pick light-blue cube and put in green square
episode_030.mp4,22.629,33.535,pick red cube and put in red square
episode_031.mp4,0.375,13.871,pick brown cube and put in yellow square
episode_031.mp4,14.075,24.061,pick dark-blue cube and put in dark-blue square
episode_031.mp4,24.265,38.818,pick orange cube and put in orange square
episode_032.mp4,1.501,17.259,pick brown cube and put in yellow square
episode_032.mp4,18.624,31.449,pick red cube and put in red square
episode_032.mp4,31.619,39.294,pick light-blue cube and put in green square
episode_033.mp4,2.012,14.496,pick dark-blue cube and put in dark-blue square
episode_033.mp4,15.179,28.822,pick orange cube and put in orange square
episode_034.mp4,1.944,17.293,pick light-blue cube and put in green square
episode_034.mp4,19.306,30.971,pick red cube and put in red square
episode_035.mp4,0.580,12.620,pick brown cube and put in yellow square
episode_035.mp4,13.882,28.686,pick dark-blue cube and put in dark-blue square
episode_035.mp4,29.743,39.430,pick orange cube and put in orange square
episode_036.mp4,0.785,15.349,pick brown cube and put in yellow square
episode_036.mp4,15.929,27.492,pick orange cube and put in orange square
episode_038.mp4,0.443,13.439,pick dark-blue cube and put in dark-blue square
episode_038.mp4,16.202,26.571,pick red cube and put in red square
episode_038.mp4,27.731,38.850,pick light-blue cube and put in green square
episode_039.mp4,1.262,15.451,pick brown cube and put in yellow square
episode_040.mp4,2.863,16.188,pick red cube and put in red square
episode_040.mp4,18.949,29.173,pick light-blue cube and put in green square
episode_040.mp4,30.604,39.499,pick orange cube and put in orange square
episode_041.mp4,3.204,16.870,pick orange cube and put in orange square
episode_041.mp4,19.392,30.604,pick brown cube and put in yellow square
episode_041.mp4,31.150,39.397,pick dark-blue cube and put in dark-blue square
episode_042.mp4,0.853,13.985,pick brown cube and put in yellow square
episode_042.mp4,14.360,24.729,pick dark-blue cube and put in dark-blue square
episode_042.mp4,25.207,35.985,pick red cube and put in red square
episode_043.mp4,0.580,14.258,pick light-blue cube and put in green square
episode_043.mp4,14.599,24.763,pick orange cube and put in orange square
episode_044.mp4,1.876,15.247,pick dark-blue cube and put in dark-blue square
episode_045.mp4,0.443,10.676,pick red cube and put in red square
episode_045.mp4,14.531,29.129,pick orange cube and put in orange square
episode_046.mp4,0.545,10.974,pick brown cube and put in yellow square
episode_046.mp4,12.780,24.027,pick dark-blue cube and put in dark-blue square
episode_046.mp4,24.333,33.978,pick light-blue cube and put in green square
episode_047.mp4,2.456,20.056,pick orange cube and put in orange square
episode_047.mp4,20.431,30.835,pick red cube and put in red square
episode_048.mp4,1.501,12.109,pick dark-blue cube and put in dark-blue square
episode_048.mp4,15.008,25.138,pick red cube and put in red square
episode_048.mp4,25.957,33.939,pick orange cube and put in orange square
episode_049.mp4,0.239,11.870,pick light-blue cube and put in green square
episode_049.mp4,12.109,25.173,pick brown cube and put in yellow square
episode_050.mp4,3.752,14.803,pick dark-blue cube and put in dark-blue square
episode_050.mp4,16.304,25.445,pick brown cube and put in yellow square
episode_050.mp4,25.616,32.404,pick light-blue cube and put in green square
episode_051.mp4,3.169,18.369,pick orange cube and put in orange square
episode_051.mp4,18.574,31.218,pick red cube and put in red square
episode_052.mp4,2.047,15.758,pick red cube and put in red square
episode_052.mp4,17.123,33.939,pick dark-blue cube and put in dark-blue square
episode_053.mp4,0.170,16.325,pick brown cube and put in yellow square
episode_053.mp4,16.427,26.855,pick orange cube and put in orange square
episode_053.mp4,27.094,37.420,pick light-blue cube and put in green square
episode_054.mp4,0.273,14.961,pick dark-blue cube and put in dark-blue square
episode_054.mp4,15.200,24.470,pick red cube and put in red square
episode_054.mp4,24.776,31.695,pick orange cube and put in orange square
episode_054.mp4,31.865,39.465,pick brown cube and put in yellow square
episode_055.mp4,0.136,11.665,pick light-blue cube and put in green square
episode_055.mp4,11.836,22.717,pick orange cube and put in orange square
episode_055.mp4,22.955,33.495,pick brown cube and put in yellow square
episode_056.mp4,2.149,13.200,pick brown cube and put in yellow square
episode_056.mp4,13.268,20.124,pick light-blue cube and put in green square
episode_056.mp4,20.261,30.494,pick red cube and put in red square
episode_056.mp4,30.596,37.964,pick dark-blue cube and put in dark-blue square
episode_057.mp4,0.205,11.427,pick orange cube and put in orange square
episode_057.mp4,11.529,23.535,pick brown cube and put in yellow square
episode_057.mp4,23.740,31.653,pick dark-blue cube and put in dark-blue square
episode_057.mp4,31.722,39.533,pick light-blue cube and put in green square
episode_058.mp4,0.989,11.768,pick light-blue cube and put in green square
episode_058.mp4,11.938,21.045,pick red cube and put in red square
episode_058.mp4,21.182,30.494,pick brown cube and put in yellow square
episode_058.mp4,30.664,39.430,pick dark-blue cube and put in dark-blue square
episode_059.mp4,1.126,11.256,pick dark-blue cube and put in dark-blue square
episode_059.mp4,11.461,21.898,pick light-blue cube and put in green square
episode_059.mp4,23.092,31.346,pick red cube and put in red square
episode_059.mp4,31.722,39.260,pick orange cube and put in orange square
